reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
22101153041 | 101 | 100206 | ENGLISH | F | P | D | 7.54 | 7.63 | 6.83 | 6.88 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101153041 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101153041&exam_held=November%2F2025
22101154068 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 7 | 7.15 | 6.87 | 6.95 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101154068 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101154068&exam_held=November%2F2025
22101154073 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 6.95 | 7.00 | 6.76 | 6.79 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101154073 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101154073&exam_held=November%2F2025
22101155004 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 6.22 | 6.27 | 5.95 | 5.97 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101155004 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101155004&exam_held=November%2F2025
22101155012 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 7.68 | 7.73 | 7.16 | 7.18 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101155012 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101155012&exam_held=November%2F2025
22101155028 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | F | P | D | 7 | 7.20 | 6.68 | 6.79 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101155028 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101155028&exam_held=November%2F2025
22101155048 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.88 | 7.02 | 6.84 | 6.92 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101155048 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101155048&exam_held=November%2F2025
22101156051 | 101 | 100206 | ENGLISH | F | P | D | 5.54 | 5.63 | 6.05 | 6.11 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101156051 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101156051&exam_held=November%2F2025
22101157008 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 6.2 | 6.24 | 6.11 | 6.13 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101157008 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101157008&exam_held=November%2F2025
22101157041 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 6.07 | 6.12 | 5.93 | 5.96 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101157041 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101157041&exam_held=November%2F2025
